"SYSTEM", "1", "SYSTEM", "System Start", " "
"main", "80", "seminar_test/Elevator_Scheduler.java:24", "Variable Write", " context=seminar_test.Elevator_Scheduler#main:1, p1=seminar_test.Person:1"
"main", "81", "seminar_test/Elevator_Scheduler.java:25", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=25"
"main", "82", "seminar_test/Elevator_Scheduler.java:25", "New Object", " object=seminar_test.Person:2"
"main", "83", "seminar_test/Elevator_Scheduler.java:25", "Method Call", " caller=seminar_test.Elevator_Scheduler#main:1, target=seminar_test.Person:2#seminar_test.Person:2"
"main", "84", "seminar_test/Elevator_Scheduler.java:84", "Method Entered", " "
"main", "85", "seminar_test/Elevator_Scheduler.java:84", "Variable Write", " context=seminar_test.Person:2#seminar_test.Person:2, name=""B"""
"main", "86", "seminar_test/Elevator_Scheduler.java:84", "Variable Write", " context=seminar_test.Person:2#seminar_test.Person:2, S=seminar_test.Scheduler:1"
"main", "87", "seminar_test/Elevator_Scheduler.java:84", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=84"
"main", "88", "seminar_test/Elevator_Scheduler.java:82", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=82"
"main", "89", "seminar_test/Elevator_Scheduler.java:82", "Field Write", " context=seminar_test.Person:2, from=0"
"main", "90", "seminar_test/Elevator_Scheduler.java:83", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=83"
"main", "91", "seminar_test/Elevator_Scheduler.java:83", "Field Write", " context=seminar_test.Person:2, to=0"
"main", "92", "seminar_test/Elevator_Scheduler.java:85", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=85"
"main", "93", "seminar_test/Elevator_Scheduler.java:85", "Field Write", " context=seminar_test.Person:2, name=""B"""
"main", "94", "seminar_test/Elevator_Scheduler.java:86", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=86"
"main", "95", "seminar_test/Elevator_Scheduler.java:86", "Field Write", " context=seminar_test.Person:2, S=seminar_test.Scheduler:1"
"main", "96", "seminar_test/Elevator_Scheduler.java:87", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=87"
"main", "97", "seminar_test/Elevator_Scheduler.java:87", "Method Exit", " returner=seminar_test.Person:2#seminar_test.Person:2, value=<void>"
"main", "98", "seminar_test/Elevator_Scheduler.java:25", "Method Returned", " "
"main", "99", "seminar_test/Elevator_Scheduler.java:25", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=25"
"main", "100", "seminar_test/Elevator_Scheduler.java:25", "Variable Write", " context=seminar_test.Elevator_Scheduler#main:1, p2=seminar_test.Person:2"
"main", "101", "seminar_test/Elevator_Scheduler.java:26", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=26"
"main", "102", "seminar_test/Elevator_Scheduler.java:26", "New Object", " object=seminar_test.Person:3"
"main", "103", "seminar_test/Elevator_Scheduler.java:26", "Method Call", " caller=seminar_test.Elevator_Scheduler#main:1, target=seminar_test.Person:3#seminar_test.Person:3"
"main", "104", "seminar_test/Elevator_Scheduler.java:84", "Method Entered", " "
"main", "105", "seminar_test/Elevator_Scheduler.java:84", "Variable Write", " context=seminar_test.Person:3#seminar_test.Person:3, name=""C"""
"main", "106", "seminar_test/Elevator_Scheduler.java:84", "Variable Write", " context=seminar_test.Person:3#seminar_test.Person:3, S=seminar_test.Scheduler:1"
"main", "107", "seminar_test/Elevator_Scheduler.java:84", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=84"
"main", "108", "seminar_test/Elevator_Scheduler.java:82", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=82"
"main", "109", "seminar_test/Elevator_Scheduler.java:82", "Field Write", " context=seminar_test.Person:3, from=0"
"main", "110", "seminar_test/Elevator_Scheduler.java:83", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=83"
"main", "111", "seminar_test/Elevator_Scheduler.java:83", "Field Write", " context=seminar_test.Person:3, to=0"
"main", "112", "seminar_test/Elevator_Scheduler.java:85", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=85"
"main", "113", "seminar_test/Elevator_Scheduler.java:85", "Field Write", " context=seminar_test.Person:3, name=""C"""
"main", "114", "seminar_test/Elevator_Scheduler.java:86", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=86"
"main", "115", "seminar_test/Elevator_Scheduler.java:86", "Field Write", " context=seminar_test.Person:3, S=seminar_test.Scheduler:1"
"main", "116", "seminar_test/Elevator_Scheduler.java:87", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=87"
"main", "117", "seminar_test/Elevator_Scheduler.java:87", "Method Exit", " returner=seminar_test.Person:3#seminar_test.Person:3, value=<void>"
"main", "118", "seminar_test/Elevator_Scheduler.java:26", "Method Returned", " "
"main", "119", "seminar_test/Elevator_Scheduler.java:26", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=26"
"main", "120", "seminar_test/Elevator_Scheduler.java:26", "Variable Write", " context=seminar_test.Elevator_Scheduler#main:1, p3=seminar_test.Person:3"
"main", "121", "seminar_test/Elevator_Scheduler.java:27", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=27"
"main", "122", "seminar_test/Elevator_Scheduler.java:27", "New Object", " object=seminar_test.Person:4"
"main", "123", "seminar_test/Elevator_Scheduler.java:27", "Method Call", " caller=seminar_test.Elevator_Scheduler#main:1, target=seminar_test.Person:4#seminar_test.Person:4"
"main", "124", "seminar_test/Elevator_Scheduler.java:84", "Method Entered", " "
"main", "125", "seminar_test/Elevator_Scheduler.java:84", "Variable Write", " context=seminar_test.Person:4#seminar_test.Person:4, name=""D"""
"main", "126", "seminar_test/Elevator_Scheduler.java:84", "Variable Write", " context=seminar_test.Person:4#seminar_test.Person:4, S=seminar_test.Scheduler:1"
"main", "127", "seminar_test/Elevator_Scheduler.java:84", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=84"
"main", "128", "seminar_test/Elevator_Scheduler.java:82", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=82"
"main", "129", "seminar_test/Elevator_Scheduler.java:82", "Field Write", " context=seminar_test.Person:4, from=0"
"main", "130", "seminar_test/Elevator_Scheduler.java:83", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=83"
"main", "131", "seminar_test/Elevator_Scheduler.java:83", "Field Write", " context=seminar_test.Person:4, to=0"
"main", "132", "seminar_test/Elevator_Scheduler.java:85", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=85"
"main", "133", "seminar_test/Elevator_Scheduler.java:85", "Field Write", " context=seminar_test.Person:4, name=""D"""
"main", "134", "seminar_test/Elevator_Scheduler.java:86", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=86"
"main", "135", "seminar_test/Elevator_Scheduler.java:86", "Field Write", " context=seminar_test.Person:4, S=seminar_test.Scheduler:1"
"main", "136", "seminar_test/Elevator_Scheduler.java:87", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=87"
"main", "137", "seminar_test/Elevator_Scheduler.java:87", "Method Exit", " returner=seminar_test.Person:4#seminar_test.Person:4, value=<void>"
"main", "138", "seminar_test/Elevator_Scheduler.java:27", "Method Returned", " "
"main", "139", "seminar_test/Elevator_Scheduler.java:27", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=27"
"main", "140", "seminar_test/Elevator_Scheduler.java:27", "Variable Write", " context=seminar_test.Elevator_Scheduler#main:1, p4=seminar_test.Person:4"
"main", "141", "seminar_test/Elevator_Scheduler.java:28", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=28"
"main", "142", "seminar_test/Elevator_Scheduler.java:28", "New Object", " object=seminar_test.Person:5"
"main", "143", "seminar_test/Elevator_Scheduler.java:28", "Method Call", " caller=seminar_test.Elevator_Scheduler#main:1, target=seminar_test.Person:5#seminar_test.Person:5"
"main", "144", "seminar_test/Elevator_Scheduler.java:84", "Method Entered", " "
"main", "145", "seminar_test/Elevator_Scheduler.java:84", "Variable Write", " context=seminar_test.Person:5#seminar_test.Person:5, name=""E"""
"main", "146", "seminar_test/Elevator_Scheduler.java:84", "Variable Write", " context=seminar_test.Person:5#seminar_test.Person:5, S=seminar_test.Scheduler:1"
"main", "147", "seminar_test/Elevator_Scheduler.java:84", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=84"
"main", "148", "seminar_test/Elevator_Scheduler.java:82", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=82"
"main", "149", "seminar_test/Elevator_Scheduler.java:82", "Field Write", " context=seminar_test.Person:5, from=0"
"main", "150", "seminar_test/Elevator_Scheduler.java:83", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=83"
"main", "151", "seminar_test/Elevator_Scheduler.java:83", "Field Write", " context=seminar_test.Person:5, to=0"
"main", "152", "seminar_test/Elevator_Scheduler.java:85", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=85"
"main", "153", "seminar_test/Elevator_Scheduler.java:85", "Field Write", " context=seminar_test.Person:5, name=""E"""
"main", "154", "seminar_test/Elevator_Scheduler.java:86", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=86"
"main", "155", "seminar_test/Elevator_Scheduler.java:86", "Field Write", " context=seminar_test.Person:5, S=seminar_test.Scheduler:1"
"main", "156", "seminar_test/Elevator_Scheduler.java:87", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=87"
"main", "157", "seminar_test/Elevator_Scheduler.java:87", "Method Exit", " returner=seminar_test.Person:5#seminar_test.Person:5, value=<void>"
"main", "158", "seminar_test/Elevator_Scheduler.java:28", "Method Returned", " "
"main", "159", "seminar_test/Elevator_Scheduler.java:28", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=28"
"main", "160", "seminar_test/Elevator_Scheduler.java:28", "Variable Write", " context=seminar_test.Elevator_Scheduler#main:1, p5=seminar_test.Person:5"
"main", "161", "seminar_test/Elevator_Scheduler.java:29", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=29"
"main", "162", "seminar_test/Elevator_Scheduler.java:29", "New Object", " object=seminar_test.Person:6"
"main", "163", "seminar_test/Elevator_Scheduler.java:29", "Method Call", " caller=seminar_test.Elevator_Scheduler#main:1, target=seminar_test.Person:6#seminar_test.Person:6"
"main", "164", "seminar_test/Elevator_Scheduler.java:84", "Method Entered", " "
"main", "165", "seminar_test/Elevator_Scheduler.java:84", "Variable Write", " context=seminar_test.Person:6#seminar_test.Person:6, name=""F"""
"main", "166", "seminar_test/Elevator_Scheduler.java:84", "Variable Write", " context=seminar_test.Person:6#seminar_test.Person:6, S=seminar_test.Scheduler:1"
"main", "167", "seminar_test/Elevator_Scheduler.java:84", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=84"
"main", "168", "seminar_test/Elevator_Scheduler.java:82", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=82"
"main", "169", "seminar_test/Elevator_Scheduler.java:82", "Field Write", " context=seminar_test.Person:6, from=0"
"main", "170", "seminar_test/Elevator_Scheduler.java:83", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=83"
"main", "171", "seminar_test/Elevator_Scheduler.java:83", "Field Write", " context=seminar_test.Person:6, to=0"
"main", "172", "seminar_test/Elevator_Scheduler.java:85", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=85"
"main", "173", "seminar_test/Elevator_Scheduler.java:85", "Field Write", " context=seminar_test.Person:6, name=""F"""
"main", "174", "seminar_test/Elevator_Scheduler.java:86", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=86"
"main", "175", "seminar_test/Elevator_Scheduler.java:86", "Field Write", " context=seminar_test.Person:6, S=seminar_test.Scheduler:1"
"main", "176", "seminar_test/Elevator_Scheduler.java:87", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=87"
"main", "177", "seminar_test/Elevator_Scheduler.java:87", "Method Exit", " returner=seminar_test.Person:6#seminar_test.Person:6, value=<void>"
"main", "178", "seminar_test/Elevator_Scheduler.java:29", "Method Returned", " "
"main", "179", "seminar_test/Elevator_Scheduler.java:29", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=29"
"main", "180", "seminar_test/Elevator_Scheduler.java:29", "Variable Write", " context=seminar_test.Elevator_Scheduler#main:1, p6=seminar_test.Person:6"
"main", "181", "seminar_test/Elevator_Scheduler.java:32", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=32"
"main", "182", "seminar_test/Elevator_Scheduler.java:33", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=33"
"Thread-1", "183", "SYSTEM", "Thread Start", " Thread-1 (36)"
"Thread-1", "184", "seminar_test/Elevator_Scheduler.java:92", "Method Call", " caller=SYSTEM, target=seminar_test.Person:1#run:1"
"Thread-1", "185", "seminar_test/Elevator_Scheduler.java:89", "Method Entered", " "
"main", "186", "seminar_test/Elevator_Scheduler.java:34", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=34"
"Thread-2", "187", "SYSTEM", "Thread Start", " Thread-2 (38)"
"Thread-2", "188", "seminar_test/Elevator_Scheduler.java:92", "Method Call", " caller=SYSTEM, target=seminar_test.Person:2#run:2"
"Thread-2", "189", "seminar_test/Elevator_Scheduler.java:89", "Method Entered", " "
"Thread-1", "190", "seminar_test/Elevator_Scheduler.java:92", "Field Read", " context=seminar_test.Person:1, to"
"main", "191", "seminar_test/Elevator_Scheduler.java:35", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=35"
"Thread-3", "192", "SYSTEM", "Thread Start", " Thread-3 (40)"
"Thread-3", "193", "seminar_test/Elevator_Scheduler.java:92", "Method Call", " caller=SYSTEM, target=seminar_test.Person:3#run:3"
"Thread-3", "194", "seminar_test/Elevator_Scheduler.java:89", "Method Entered", " "
"Thread-2", "195", "seminar_test/Elevator_Scheduler.java:92", "Field Read", " context=seminar_test.Person:2, to"
"Thread-1", "196", "seminar_test/Elevator_Scheduler.java:92", "Field Read", " context=seminar_test.Person:1, from"
"Thread-4", "197", "SYSTEM", "Thread Start", " Thread-4 (42)"
"Thread-4", "198", "seminar_test/Elevator_Scheduler.java:92", "Method Call", " caller=SYSTEM, target=seminar_test.Person:4#run:4"
"Thread-4", "199", "seminar_test/Elevator_Scheduler.java:89", "Method Entered", " "
"main", "200", "seminar_test/Elevator_Scheduler.java:36", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=36"
"Thread-3", "201", "seminar_test/Elevator_Scheduler.java:92", "Field Read", " context=seminar_test.Person:3, to"
"Thread-2", "202", "seminar_test/Elevator_Scheduler.java:92", "Field Read", " context=seminar_test.Person:2, from"
"Thread-1", "203", "seminar_test/Elevator_Scheduler.java:94", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=94"
"Thread-4", "204", "seminar_test/Elevator_Scheduler.java:92", "Field Read", " context=seminar_test.Person:4, to"
"main", "205", "seminar_test/Elevator_Scheduler.java:37", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=37"
"Thread-5", "206", "SYSTEM", "Thread Start", " Thread-5 (44)"
"Thread-5", "207", "seminar_test/Elevator_Scheduler.java:92", "Method Call", " caller=SYSTEM, target=seminar_test.Person:5#run:5"
"Thread-5", "208", "seminar_test/Elevator_Scheduler.java:89", "Method Entered", " "
"Thread-3", "209", "seminar_test/Elevator_Scheduler.java:92", "Field Read", " context=seminar_test.Person:3, from"
"Thread-2", "210", "seminar_test/Elevator_Scheduler.java:94", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=94"
"Thread-1", "211", "seminar_test/Elevator_Scheduler.java:94", "Field Read", " context=seminar_test.Person:1, from"
"Thread-4", "212", "seminar_test/Elevator_Scheduler.java:92", "Field Read", " context=seminar_test.Person:4, from"
"main", "213", "seminar_test/Elevator_Scheduler.java:39", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=39"
"Thread-6", "214", "SYSTEM", "Thread Start", " Thread-6 (46)"
"Thread-6", "215", "seminar_test/Elevator_Scheduler.java:92", "Method Call", " caller=SYSTEM, target=seminar_test.Person:6#run:6"
"Thread-6", "216", "seminar_test/Elevator_Scheduler.java:89", "Method Entered", " "
"Thread-5", "217", "seminar_test/Elevator_Scheduler.java:92", "Field Read", " context=seminar_test.Person:5, to"
"Thread-3", "218", "seminar_test/Elevator_Scheduler.java:94", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=94"
"Thread-2", "219", "seminar_test/Elevator_Scheduler.java:94", "Field Read", " context=seminar_test.Person:2, from"
"Thread-1", "220", "seminar_test/Elevator_Scheduler.java:94", "Field Read", " context=seminar_test.Person:1, to"
"Thread-4", "221", "seminar_test/Elevator_Scheduler.java:94", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=94"
"main", "222", "seminar_test/Elevator_Scheduler.java:41", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=41"
"Thread-0", "223", "SYSTEM", "Thread Start", " Thread-0 (29)"
"Thread-0", "224", "seminar_test/Elevator_Scheduler.java:305", "Method Call", " caller=SYSTEM, target=seminar_test.Scheduler:1#run:1"
"Thread-0", "225", "seminar_test/Elevator_Scheduler.java:303", "Method Entered", " "
"Thread-6", "226", "seminar_test/Elevator_Scheduler.java:92", "Field Read", " context=seminar_test.Person:6, to"
"Thread-5", "227", "seminar_test/Elevator_Scheduler.java:92", "Field Read", " context=seminar_test.Person:5, from"
"Thread-3", "228", "seminar_test/Elevator_Scheduler.java:94", "Field Read", " context=seminar_test.Person:3, from"
"Thread-2", "229", "seminar_test/Elevator_Scheduler.java:94", "Field Read", " context=seminar_test.Person:2, to"
"Thread-1", "230", "seminar_test/Elevator_Scheduler.java:96", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=96"
"Thread-4", "231", "seminar_test/Elevator_Scheduler.java:94", "Field Read", " context=seminar_test.Person:4, from"
"main", "232", "seminar_test/Elevator_Scheduler.java:41", "Method Exit", " returner=seminar_test.Elevator_Scheduler#main:1, value=<void>"
"Thread-0", "233", "seminar_test/Elevator_Scheduler.java:305", "Method Call", " caller=seminar_test.Scheduler:1#run:1, target=seminar_test.Scheduler:1#schedule:1"
"Thread-0", "234", "seminar_test/Elevator_Scheduler.java:151", "Method Entered", " "
"Thread-0", "235", "seminar_test/Elevator_Scheduler.java:154", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=154"
"Thread-6", "236", "seminar_test/Elevator_Scheduler.java:92", "Field Read", " context=seminar_test.Person:6, from"
"Thread-5", "237", "seminar_test/Elevator_Scheduler.java:94", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=94"
"Thread-3", "238", "seminar_test/Elevator_Scheduler.java:94", "Field Read", " context=seminar_test.Person:3, to"
"Thread-2", "239", "seminar_test/Elevator_Scheduler.java:96", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=96"
